ID,Airport Name,Airport Code
1,O’Hare International Airport,ORD
2,Denver International Airport,DEN
3,Antonio B. Won Pat International Airport,GUM
4,Houston/George Bush Intercontinental Airport,IAH
5,Los Angeles International Airport,LAX
6,Newark Liberty International Airport,EWR
7,San Francisco International Airport,SFO
8,Washington Dulles International Airport,IAD
9,Addis Ababa Bole International Airport,ADD
10,OR Tambo International Airport,JNB
11,Beijing Capital International Airport,PEK
12,Chengdu Shuangliu International Airport,CTU
13,Shanghai Pudong International Airport,PVG
14,Hongqiao International Airport,SHA
15,Shanghai Pudong International Airport,PVG
16,Bao An International Airport,SZX
17,Chhatrapati Shivaji Maharaj International Airport,BOM
18,Indira Gandhi International Airport,DEL
19,Kansai International Airport,KIX
20,Osaka International Airport,ITM
21,Haneda International Airport,HND
22,Narita International Airport,NRT
23,Singapore Changi Airport,SIN
24,Gimpo International Airport,GMP
25,Incheon International Airport,ICN
26,Taiwan Taoyuan International Airport,TPE
27,Suvarnabhumi Airport,BKK
28,Sydney (Kingsford Smith) Airport,SYD
29,Auckland Airport,AKL
30,Vienna International Airport,VIE
31,Brussels Airport,BRU
32,Zagreb Airport,ZAG
33,Copenhagen Airport,CPH
34,Frankfurt International Airport,FRA
35,"Munich ""Franz Josef Strauss"" Airport",MUC
36,Athens International Airport,ATH
37,"Thessaloniki Airport ""Makedonia""",SKG
38,Dublin Airport,DUB
39,Warsaw Frederic Chopin Airport,WAW
40,Lisbon Portela Airport,LIS
41,Aeroporto Internacional Dr. Francisco de Sá Carneiro,OPO
42,"Oslo Airport, Gardermoen",OSL
43,Stockholm-Arlanda Airport,ARN
44,Geneva International Airport,GVA
45,Zürich Airport,ZRH
46,London Heathrow International Airport,LHR
47,Cairo International Airport,CAI
48,Istanbul International Airport,IST
49,Istanbul Sabiha Gökçen International Airport,SAW
50,El Dorado International Airport,BOG
51,Tancredo Neves Confins International Airport,CNF
52,Recife International Airport,REC
53,Guarulhos International Airport,GRU
54,Comalapa International Airport,SAL
55,Tocumen International Airport,PTY
56,Jorge Chavez International Airport,LIM
57,Calgary International Airport,YYC
58,Montréal-Pierre Elliott Trudeau International Airport,YUL
59,Toronto Pearson International Airport,YYZ
60,Vancouver International Airport,YVR
61,Benito Juárez International Airport,MEX
62,Logan International Airport,BOS
63,Ft. Lauderdale-Hollywood International Airport,FLL
64,Honolulu International Airport,HNL
65,Kahului Airport,OGG
66,LaGuardia Airport,LGA
67,Luis Muñoz Marin International Airport,SJU
68,Accra Airport,ACC
69,Aguadilla Airport,BQN
70,Amsterdam Airport Schiphol,AMS
71,Athens International Airport,ATH
72,Baltimore/Washington International Thurgood Marshall Airport,BWI
73,Berlin Brandenburg Airport,BER
74,Brussels Airport,BRU
75,Chuuk International Airport,TKK
76,Indira Gandhi International Airport,DEL
77,Dubai International Airport,DXB
78,Dublin Airport,DUB
79,Frankfurt International Airport,FRA
80,Antonio B. Won Pat International Airport,GUM
81,Honolulu International Airport,HNL
82,Kahului Airport,OGG
83,Kosrae International Airport,KSA
84,Murtala Muhammed International Airport,LOS
85,Jorge Chavez International Airport,LIM
86,Mammoth Yosemite Airport,MMH
87,Marrakech Menara Airport,RAK
88,Milan Malpensa Airport,MXP
89,"Munich ""Franz Josef Strauss"" Airport",MUC
90,Palau International Airport,ROR
91,Charles de Gaulle Airport,CDG
92,Pohnpei International Airport,PNI
93,Leonardo da Vinci–Fiumicino Airport,FCO
94,Saipan International Airport,SPN
95,Salt Lake City International Airport,SLC
96,Luis Muñoz Marin International Airport,SJU
97,St. Thomas Cyril E. King Airport,STT
98,Ben Gurion Airport,TLV
99,Toronto Pearson International Airport,YYZ
100,Yap International Airport,YAP
101,Zürich Airport,ZRH